id,pc_class,age,gender,survived
1,1,29.0,female,t
2,1,2.0,female,f
3,1,30.0,male,f
4,1,25.0,female,f
5,1,0.92,male,t
6,1,47.0,male,t
7,1,63.0,female,t
8,1,39.0,male,f
9,1,58.0,female,t
10,1,71.0,male,f
11,1,47.0,male,f
12,1,19.0,female,t
16,1,50.0,female,t
17,1,24.0,male,f
18,1,36.0,male,f
19,1,37.0,male,t
20,1,47.0,female,t
21,1,26.0,male,t
22,1,25.0,male,f
23,1,25.0,male,t
24,1,19.0,female,t
25,1,28.0,male,t
26,1,45.0,male,f
27,1,39.0,male,t
28,1,30.0,female,t
29,1,58.0,female,t
31,1,45.0,female,t
32,1,22.0,female,t
34,1,41.0,male,f
35,1,48.0,male,f
37,1,44.0,female,t
38,1,59.0,female,t
39,1,60.0,female,t
40,1,45.0,male,f
42,1,53.0,female,t
43,1,58.0,female,t
44,1,36.0,male,t
45,1,33.0,male,f
48,1,36.0,male,t
49,1,36.0,female,t
50,1,14.0,female,t
51,1,11.0,male,t
52,1,49.0,male,f
54,1,36.0,male,f
56,1,46.0,male,f
57,1,47.0,female,t
58,1,27.0,male,t
59,1,31.0,female,t
64,1,27.0,male,f
65,1,26.0,female,t
68,1,64.0,female,t
69,1,37.0,male,f
70,1,39.0,female,t
71,1,55.0,female,t
73,1,70.0,male,f
74,1,69.0,female,t
75,1,36.0,female,t
76,1,39.0,male,f
77,1,38.0,female,t
79,1,27.0,male,t
80,1,31.0,male,f
81,1,27.0,female,t
83,1,31.0,male,t
84,1,17.0,female,t
87,1,4.0,male,t
88,1,27.0,female,t
89,1,50.0,male,f
90,1,48.0,female,t
91,1,49.0,male,t
92,1,48.0,female,t
93,1,39.0,male,f
94,1,23.0,female,t
95,1,53.0,female,t
96,1,36.0,female,f
99,1,30.0,male,f
100,1,24.0,female,t
101,1,19.0,male,f
102,1,28.0,female,t
103,1,23.0,female,t
104,1,64.0,male,f
105,1,60.0,female,t
107,1,49.0,male,t
109,1,44.0,male,t
110,1,22.0,female,t
111,1,60.0,male,t
112,1,48.0,female,t
113,1,37.0,male,f
114,1,35.0,female,t
115,1,47.0,male,f
116,1,22.0,female,t
117,1,45.0,female,t
118,1,49.0,male,t
120,1,71.0,male,f
121,1,54.0,male,t
122,1,38.0,male,f
123,1,19.0,female,t
124,1,58.0,female,t
125,1,45.0,female,t
126,1,23.0,male,t
127,1,46.0,male,f
128,1,25.0,male,t
129,1,21.0,female,t
130,1,48.0,male,t
131,1,49.0,female,t
132,1,45.0,male,f
133,1,36.0,female,t
135,1,55.0,male,f
136,1,52.0,female,t
137,1,24.0,female,t
141,1,16.0,female,t
142,1,44.0,female,t
143,1,51.0,female,t
144,1,42.0,male,f
145,1,35.0,female,t
146,1,35.0,male,t
147,1,38.0,male,t
148,1,35.0,female,t
150,1,50.0,female,f
151,1,49.0,male,t
152,1,46.0,male,f
154,1,58.0,male,f
155,1,41.0,male,f
157,1,42.0,male,t
158,1,40.0,female,t
162,1,42.0,male,f
163,1,55.0,female,t
164,1,50.0,female,t
165,1,16.0,female,t
167,1,29.0,male,f
168,1,21.0,female,t
169,1,30.0,male,f
170,1,15.0,female,t
171,1,30.0,male,f
175,1,46.0,male,f
176,1,54.0,male,f
177,1,36.0,male,t
178,1,28.0,male,f
180,1,65.0,male,f
181,1,33.0,female,t
182,1,44.0,male,f
183,1,37.0,female,t
185,1,55.0,male,f
186,1,47.0,male,f
187,1,36.0,male,f
188,1,58.0,male,f
189,1,31.0,female,t
190,1,23.0,female,t
191,1,19.0,female,t
192,1,64.0,male,f
194,1,64.0,male,f
195,1,22.0,female,t
196,1,28.0,male,f
199,1,22.0,male,f
202,1,18.0,male,f
203,1,17.0,female,t
204,1,52.0,male,t
205,1,46.0,male,f
206,1,56.0,female,t
209,1,43.0,female,t
210,1,31.0,male,f
213,1,33.0,female,t
215,1,27.0,female,t
216,1,55.0,male,f
217,1,54.0,female,t
219,1,61.0,male,f
220,1,48.0,female,t
221,1,18.0,female,t
222,1,13.0,male,t
223,1,21.0,female,t
227,1,34.0,male,t
228,1,40.0,female,t
229,1,36.0,male,t
230,1,50.0,male,f
231,1,39.0,female,t
232,1,56.0,male,t
233,1,28.0,male,t
234,1,56.0,male,f
235,1,56.0,male,f
236,1,24.0,male,f
237,1,18.0,female,t
239,1,24.0,male,t
240,1,23.0,female,t
241,1,45.0,male,t
242,1,40.0,female,t
243,1,6.0,male,t
244,1,57.0,male,f
246,1,32.0,male,t
247,1,62.0,male,f
248,1,54.0,male,t
249,1,43.0,female,t
250,1,52.0,female,t
252,1,62.0,female,t
253,1,67.0,male,f
254,1,63.0,female,f
255,1,61.0,male,f
256,1,46.0,female,t
257,1,52.0,male,f
258,1,39.0,female,t
259,1,18.0,female,t
260,1,48.0,male,t
262,1,49.0,male,f
263,1,39.0,female,t
264,1,17.0,male,t
265,1,46.0,male,f
267,1,31.0,male,t
269,1,61.0,male,f
270,1,47.0,male,f
271,1,64.0,male,f
272,1,60.0,female,t
273,1,60.0,male,f
274,1,55.0,female,t
275,1,54.0,male,f
276,1,21.0,male,f
277,1,57.0,male,f
278,1,45.0,female,t
279,1,31.0,female,t
280,1,50.0,male,f
281,1,50.0,female,t
282,1,27.0,male,f
283,1,20.0,female,t
284,1,51.0,male,f
286,1,21.0,male,t
289,1,36.0,female,t
307,1,40.0,male,f
310,1,32.0,male,f
317,1,33.0,male,f
323,2,30.0,male,f
324,2,28.0,female,t
325,2,18.0,male,f
327,2,34.0,male,f
328,2,32.0,female,t
329,2,57.0,male,f
330,2,18.0,male,f
331,2,23.0,male,f
332,2,36.0,female,t
333,2,28.0,male,f
334,2,51.0,male,f
335,2,32.0,male,t
336,2,19.0,female,t
337,2,28.0,male,f
338,2,36.0,female,t
339,2,4.0,female,t
340,2,1.0,male,t
341,2,12.0,female,t
342,2,34.0,male,t
343,2,19.0,female,t
344,2,23.0,male,f
345,2,26.0,male,f
347,2,27.0,male,f
348,2,15.0,female,t
349,2,45.0,male,f
350,2,40.0,female,t
351,2,20.0,female,t
352,2,25.0,male,f
353,2,36.0,female,t
354,2,25.0,male,f
356,2,42.0,female,t
357,2,26.0,male,t
358,2,26.0,female,t
359,2,0.83,male,t
360,2,31.0,female,t
362,2,19.0,male,f
363,2,54.0,male,f
364,2,44.0,female,f
365,2,52.0,male,f
366,2,30.0,male,f
367,2,30.0,female,f
370,2,29.0,male,f
372,2,29.0,male,f
373,2,27.0,male,f
374,2,24.0,male,t
375,2,35.0,male,f
376,2,31.0,female,t
377,2,8.0,female,t
378,2,22.0,female,f
379,2,30.0,female,f
381,2,20.0,male,f
383,2,21.0,male,f
384,2,49.0,female,t
385,2,8.0,male,t
386,2,28.0,female,t
387,2,18.0,male,f
389,2,28.0,male,f
390,2,22.0,female,t
391,2,25.0,male,f
392,2,18.0,male,f
393,2,32.0,female,t
394,2,18.0,female,t
396,2,42.0,male,f
397,2,34.0,female,t
398,2,8.0,male,t
401,2,23.0,male,f
402,2,21.0,male,f
403,2,19.0,male,f
407,2,38.0,male,f
409,2,38.0,female,f
410,2,35.0,male,f
411,2,35.0,male,f
412,2,38.0,male,f
413,2,24.0,female,t
414,2,16.0,male,f
415,2,26.0,male,f
416,2,45.0,male,f
417,2,24.0,male,f
418,2,21.0,male,f
419,2,22.0,male,f
421,2,34.0,male,f
422,2,30.0,male,f
423,2,50.0,male,f
424,2,30.0,male,f
425,2,23.0,female,t
426,2,1.0,male,t
427,2,44.0,male,f
428,2,28.0,male,f
429,2,6.0,female,t
430,2,30.0,male,t
432,2,43.0,male,f
433,2,45.0,female,t
434,2,7.0,female,t
435,2,24.0,female,t
436,2,24.0,female,t
437,2,49.0,male,f
438,2,48.0,female,t
440,2,34.0,male,f
441,2,32.0,male,f
442,2,21.0,male,f
443,2,18.0,female,f
444,2,53.0,female,t
445,2,23.0,male,f
446,2,21.0,female,t
448,2,52.0,male,f
449,2,42.0,male,f
450,2,36.0,female,t
451,2,21.0,male,f
452,2,41.0,male,t
455,2,33.0,male,f
456,2,17.0,female,t
463,2,23.0,female,t
464,2,34.0,male,f
466,2,22.0,female,f
469,2,45.0,female,t
472,2,31.0,male,f
473,2,30.0,male,f
474,2,26.0,female,f
476,2,34.0,female,t
477,2,26.0,male,f
478,2,22.0,female,t
479,2,1.0,female,t
480,2,3.0,female,t
484,2,25.0,male,f
486,2,48.0,male,f
488,2,57.0,female,f
492,2,2.0,male,t
494,2,27.0,male,f
495,2,19.0,female,t
496,2,30.0,male,f
497,2,20.0,male,f
498,2,45.0,male,f
500,2,46.0,male,f
501,2,41.0,female,t
502,2,13.0,female,t
503,2,19.0,male,t
504,2,30.0,male,f
505,2,48.0,male,f
506,2,71.0,male,f
507,2,54.0,male,f
510,2,64.0,male,f
511,2,32.0,male,f
512,2,18.0,female,t
513,2,2.0,male,t
514,2,32.0,male,f
515,2,3.0,male,t
516,2,26.0,male,f
517,2,19.0,male,f
519,2,20.0,male,t
520,2,29.0,female,t
521,2,39.0,male,f
522,2,22.0,male,t
524,2,24.0,male,f
526,2,28.0,male,f
528,2,50.0,female,t
529,2,20.0,male,f
530,2,40.0,male,f
531,2,42.0,female,t
532,2,21.0,male,f
533,2,32.0,female,t
534,2,34.0,male,f
537,2,33.0,female,t
538,2,2.0,female,t
539,2,8.0,female,t
540,2,36.0,male,f
541,2,34.0,male,f
542,2,30.0,female,t
543,2,28.0,female,t
544,2,23.0,male,f
545,2,0.8,male,t
546,2,25.0,female,t
547,2,3.0,male,t
548,2,50.0,female,t
550,2,21.0,female,t
553,2,25.0,female,t
554,2,18.0,female,t
555,2,20.0,female,t
556,2,30.0,female,t
557,2,59.0,male,f
558,2,30.0,female,t
559,2,35.0,male,f
560,2,22.0,male,f
562,2,25.0,male,f
563,2,41.0,male,f
564,2,25.0,male,f
565,2,14.0,male,f
566,2,50.0,female,t
567,2,22.0,male,f
569,2,27.0,female,t
570,2,29.0,male,f
571,2,27.0,female,f
572,2,30.0,male,f
573,2,22.0,male,f
574,2,35.0,female,t
575,2,30.0,male,f
576,2,28.0,female,t
577,2,23.0,male,f
579,2,12.0,female,t
580,2,40.0,female,t
581,2,36.0,female,t
582,2,28.0,male,f
583,2,32.0,female,t
584,2,29.0,female,t
585,2,4.0,female,t
586,2,2.0,male,t
589,2,36.0,male,f
590,2,33.0,female,t
594,2,32.0,male,t
597,2,26.0,female,t
599,2,30.0,male,f
600,2,24.0,female,t
602,2,18.0,male,f
603,3,42.0,male,f
604,3,13.0,male,f
605,3,16.0,male,f
606,3,35.0,female,t
607,3,16.0,female,t
608,3,25.0,male,t
609,3,18.0,female,t
610,3,20.0,male,t
611,3,30.0,male,f
612,3,26.0,male,f
613,3,40.0,female,f
614,3,24.0,male,f
615,3,41.0,male,f
616,3,18.0,female,t
617,3,0.83,male,t
618,3,23.0,male,f
619,3,20.0,male,f
620,3,25.0,male,f
621,3,35.0,male,f
622,3,17.0,male,f
623,3,32.0,male,f
624,3,20.0,male,f
625,3,39.0,male,f
626,3,39.0,female,f
627,3,6.0,female,f
628,3,2.0,female,f
629,3,17.0,female,t
630,3,38.0,female,f
631,3,9.0,female,f
632,3,26.0,male,f
633,3,11.0,female,f
634,3,4.0,male,f
635,3,20.0,male,f
636,3,26.0,male,f
637,3,25.0,male,f
638,3,18.0,female,f
639,3,24.0,male,f
640,3,35.0,male,f
641,3,40.0,male,f
642,3,38.0,female,t
643,3,5.0,male,f
644,3,9.0,male,f
645,3,3.0,male,t
646,3,13.0,male,f
647,3,23.0,male,t
648,3,5.0,female,t
650,3,45.0,female,t
651,3,23.0,male,f
652,3,17.0,female,f
653,3,27.0,male,f
654,3,23.0,male,f
655,3,20.0,male,f
656,3,32.0,male,f
657,3,33.0,female,t
658,3,3.0,female,t
662,3,18.0,female,t
663,3,40.0,male,f
664,3,26.0,male,f
665,3,15.0,female,t
666,3,45.0,female,f
667,3,18.0,female,f
668,3,27.0,female,f
669,3,22.0,male,f
670,3,19.0,male,f
671,3,26.0,male,f
672,3,22.0,male,f
673,3,20.0,male,f
674,3,32.0,male,t
675,3,21.0,male,f
676,3,18.0,male,f
677,3,26.0,male,f
678,3,6.0,male,f
681,3,9.0,female,f
682,3,40.0,male,f
683,3,32.0,female,f
685,3,26.0,male,f
686,3,18.0,female,t
687,3,20.0,female,f
689,3,29.0,male,f
690,3,22.0,male,f
691,3,22.0,male,f
692,3,35.0,male,f
693,3,21.0,male,t
694,3,20.0,female,f
695,3,19.0,male,f
696,3,18.0,female,f
697,3,18.0,male,f
698,3,38.0,male,f
700,3,30.0,male,f
701,3,17.0,male,f
702,3,21.0,female,f
703,3,21.0,male,f
704,3,21.0,male,f
707,3,24.0,male,f
708,3,33.0,male,f
709,3,33.0,male,f
710,3,28.0,male,f
711,3,16.0,female,t
712,3,37.0,female,f
713,3,28.0,male,f
715,3,24.0,male,f
716,3,21.0,male,f
718,3,32.0,male,f
719,3,29.0,male,f
720,3,26.0,male,f
721,3,18.0,male,f
722,3,20.0,male,f
723,3,19.0,male,t
724,3,24.0,male,f
725,3,24.0,male,f
726,3,36.0,male,f
727,3,31.0,male,f
728,3,31.0,male,f
729,3,30.0,female,f
730,3,22.0,female,t
732,3,43.0,male,f
733,3,35.0,male,f
734,3,27.0,male,f
735,3,19.0,male,f
736,3,30.0,male,f
737,3,36.0,female,t
738,3,3.0,male,t
739,3,9.0,male,t
740,3,59.0,male,f
741,3,19.0,male,f
742,3,44.0,male,f
743,3,17.0,female,t
745,3,45.0,male,t
746,3,22.0,female,f
747,3,19.0,male,f
748,3,29.0,male,t
749,3,30.0,female,t
750,3,34.0,male,f
751,3,28.0,female,f
752,3,0.33,male,f
753,3,27.0,male,f
754,3,25.0,male,f
755,3,24.0,male,f
756,3,22.0,male,f
757,3,21.0,male,f
758,3,17.0,male,f
761,3,26.0,male,f
762,3,33.0,female,t
763,3,1.0,male,t
764,3,0.17,female,t
765,3,25.0,male,f
766,3,36.0,male,t
767,3,36.0,female,t
768,3,30.0,male,t
770,3,23.0,male,f
771,3,26.0,male,f
772,3,19.0,female,t
773,3,65.0,male,f
775,3,42.0,male,f
776,3,43.0,male,f
777,3,32.0,male,f
778,3,19.0,male,t
779,3,30.0,female,t
780,3,24.0,female,f
781,3,23.0,female,t
783,3,24.0,female,t
784,3,24.0,male,t
785,3,23.0,male,f
786,3,22.0,female,t
788,3,18.0,male,f
789,3,16.0,male,f
790,3,45.0,male,f
794,3,47.0,male,f
795,3,5.0,female,t
807,3,21.0,female,f
808,3,18.0,male,f
809,3,9.0,female,f
810,3,48.0,female,f
811,3,16.0,male,f
814,3,25.0,male,f
816,3,38.0,female,t
817,3,22.0,male,f
818,3,16.0,female,t
820,3,33.0,male,f
822,3,9.0,male,t
823,3,41.0,male,f
824,3,38.0,male,f
825,3,40.0,male,f
826,3,43.0,female,f
827,3,14.0,male,f
828,3,16.0,female,f
829,3,9.0,male,f
830,3,10.0,female,f
831,3,6.0,male,f
832,3,11.0,male,f
833,3,40.0,male,f
834,3,32.0,male,f
836,3,20.0,male,f
837,3,37.0,male,f
838,3,28.0,male,f
839,3,19.0,male,f
840,3,24.0,female,f
841,3,17.0,female,f
844,3,28.0,male,f
845,3,24.0,female,t
846,3,20.0,male,f
847,3,41.0,male,f
848,3,45.0,female,t
849,3,26.0,male,f
850,3,21.0,male,f
856,3,27.0,male,t
858,3,18.0,female,f
859,3,26.0,female,t
860,3,23.0,female,f
861,3,22.0,female,t
865,3,28.0,female,f
866,3,22.0,female,t
867,3,2.0,female,f
868,3,43.0,male,f
870,3,27.0,female,t
873,3,42.0,male,f
876,3,27.0,female,f
877,3,25.0,female,f
879,3,27.0,male,t
881,3,19.0,female,t
882,3,20.0,male,f
883,3,48.0,male,f
884,3,17.0,male,f
887,3,34.0,male,f
888,3,22.0,male,f
889,3,33.0,male,f
890,3,32.0,male,t
891,3,29.0,male,f
892,3,26.0,male,t
893,3,49.0,male,f
894,3,1.0,female,t
895,3,33.0,male,f
896,3,4.0,male,t
897,3,24.0,female,f
898,3,19.0,male,f
904,3,32.0,male,t
905,3,27.0,male,f
906,3,21.0,female,f
907,3,32.0,male,t
908,3,20.0,female,f
909,3,17.0,male,f
910,3,21.0,male,f
911,3,30.0,male,f
912,3,21.0,male,t
913,3,23.0,male,f
914,3,22.0,male,f
915,3,4.0,female,t
916,3,39.0,male,f
918,3,20.0,male,f
921,3,21.0,female,t
922,3,44.0,male,f
923,3,42.0,male,f
924,3,21.0,female,t
925,3,24.0,male,f
929,3,25.0,male,f
930,3,22.0,male,f
931,3,22.0,male,f
932,3,39.0,male,t
933,3,26.0,female,f
934,3,4.0,female,t
935,3,22.0,female,f
936,3,26.0,male,f
937,3,1.5,female,f
938,3,36.0,female,f
939,3,18.0,male,f
941,3,25.0,male,t
943,3,37.0,female,f
947,3,22.0,female,t
948,3,20.0,male,f
949,3,26.0,male,t
950,3,29.0,male,f
951,3,29.0,male,f
952,3,22.0,male,f
959,3,32.0,male,f
961,3,21.0,male,f
962,3,21.0,female,f
963,3,36.0,male,f
964,3,39.0,male,f
965,3,25.0,female,f
966,3,45.0,female,f
967,3,36.0,male,f
968,3,30.0,female,f
969,3,20.0,male,t
1015,3,23.0,female,f
1182,3,21.0,male,f
1189,3,1.5,female,f
1259,3,25.0,male,t
1264,3,18.0,female,t
1265,3,63.0,female,t
1270,3,18.0,female,f
1271,3,31.0,male,f
1272,3,31.0,female,f
1273,3,15.0,male,f
1274,3,28.0,male,f
1275,3,36.0,male,f
1276,3,28.0,male,f
1277,3,10.0,female,f
1278,3,36.0,male,f
1279,3,30.0,female,f
1280,3,22.0,male,t
1282,3,29.0,male,f
1283,3,47.0,male,f
1284,3,14.0,female,f
1285,3,22.0,male,f
1292,3,51.0,male,f
1293,3,18.0,male,f
1294,3,45.0,female,t
1298,3,28.0,male,f
1299,3,21.0,male,f
1300,3,27.0,male,f
1302,3,36.0,male,f
1304,3,27.0,male,f
1305,3,15.0,female,t
1309,3,27.0,male,f
1310,3,26.0,male,f
1311,3,22.0,male,f
1312,3,24.0,male,f
1313,3,29.0,male,f
