car_ID,symboling,CarName,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,brand,model,power_to_weight_ratio,wheelbase_squared,carlength_squared,carwidth_squared,carheight_squared,curbweight_squared,enginesize_squared,boreratio_squared,stroke_squared,compressionratio_squared,horsepower_squared,peakrpm_squared,citympg_squared,highwaympg_squared,log_enginesize
1,3,alfa-romero giulia,1,0,1,0,2,0,-1.6907718018201774,-0.426521468357013,-0.8447823517277104,-2.020417304464712,-0.0145662821379261,0,2,0.0744489251157203,5,0.5190713849456007,-1.839377336831407,-0.2883489098618655,0.174482779162534,-0.2629602160773477,-0.6465530277621856,-0.5460587369032711,13495.0,1,79,0.0435635792778649,7849.959999999999,28493.44,4108.81,2381.44,6492304,16900,12.0409,7.182400000000001,81.0,12321,25000000,441,729,4.875197323201151
2,3,alfa-romero stelvio,1,0,1,0,2,0,-1.6907718018201774,-0.426521468357013,-0.8447823517277104,-2.020417304464712,-0.0145662821379261,0,2,0.0744489251157203,5,0.5190713849456007,-1.839377336831407,-0.2883489098618655,0.174482779162534,-0.2629602160773477,-0.6465530277621856,-0.5460587369032711,16500.0,1,123,0.0435635792778649,7849.959999999999,28493.44,4108.81,2381.44,6492304,16900,12.0409,7.182400000000001,81.0,12321,25000000,441,729,4.875197323201151
3,1,alfa-romero Quadrifoglio,1,0,1,2,2,0,-0.7085958764076113,-0.2315130468054372,-0.1905661214366869,-0.5435274761218468,0.5148819161377617,5,3,0.6040461684467903,5,-2.404880294774036,0.6859461601154123,-0.2883489098618655,1.2645364278639772,-0.2629602160773477,-0.9530116883199848,-0.6916270607851575,16500.0,1,29,0.0545518951470067,8930.25,29309.439999999995,4290.25,2745.76,7969329,23104,7.182400000000001,12.0409,81.0,23716,25000000,361,676,5.030437921392435
4,2,audi 100 ls,1,0,0,3,1,0,0.1736977515053703,0.2072559016856128,0.1365419937088248,0.2359421555035534,-0.4207974451785447,3,2,-0.4310757162457556,5,-0.5172659192588284,0.4621833186137945,-0.0359728253187763,-0.0536679845191633,0.7878554622044521,-0.1868650369254871,-0.109353765257612,13950.0,2,1,0.0436456996148908,9960.04,31187.56,4382.4400000000005,2948.49,5461569,11881,10.1761,11.56,100.0,10404,30250000,576,900,4.700480365792417
5,2,audi 100ls,1,0,0,3,0,0,0.1071095531723165,0.2072559016856128,0.2300014551789719,0.2359421555035534,0.5168071823133096,3,1,0.2188845369332848,5,-0.5172659192588284,0.4621833186137945,-0.5407249944049548,0.2758831185766218,0.7878554622044521,-1.1062410185988842,-1.273900356312703,17450.0,2,2,0.0407223796033994,9880.36,31187.56,4408.960000000001,2948.49,7974976,18496,10.1761,11.56,64.0,13225,30250000,324,484,4.919980925828125
6,2,audi fox,1,0,1,3,1,0,0.1736977515053703,0.2641333579714909,0.183271724443895,-0.2563544539440664,-0.0935021953353923,3,1,0.2188845369332848,5,-0.5172659192588284,0.4621833186137945,-0.4145369521334101,0.1491326943090121,0.7878554622044521,-0.9530116883199848,-0.8371953846670438,15250.0,2,74,0.0438771439968089,9960.04,31435.290000000005,4395.69,2819.61,6285049,18496,10.1761,11.56,72.25,12100,30250000,361,625,4.919980925828125
7,1,audi 100ls,1,0,0,3,1,0,1.1725207265011992,1.5154373962607788,2.566487991932618,0.8102881998591143,0.5553125058242687,3,1,0.2188845369332848,5,-0.5172659192588284,0.4621833186137945,-0.4145369521334101,0.1491326943090121,0.7878554622044521,-0.9530116883199848,-0.8371953846670438,17710.0,2,2,0.0386779184247538,11193.64,37133.28999999999,5097.960000000001,3102.49,8088336,18496,10.1761,11.56,72.25,12100,30250000,361,625,4.919980925828125
8,1,audi 5000,1,0,0,4,1,0,1.1725207265011992,1.5154373962607788,2.566487991932618,0.8102881998591143,0.7670917851345438,3,1,0.2188845369332848,5,-0.5172659192588284,0.4621833186137945,-0.4145369521334101,0.1491326943090121,0.7878554622044521,-0.9530116883199848,-0.8371953846670438,18920.0,2,16,0.0372376438727149,11193.64,37133.28999999999,5097.960000000001,3102.49,8726116,18496,10.1761,11.56,72.25,12100,30250000,361,625,4.919980925828125
9,1,audi 4000,1,1,0,3,1,0,1.1725207265011992,1.5154373962607788,2.566487991932618,0.8923376347670494,1.021226920306874,3,1,0.0985215270853143,5,-0.7393381987312061,0.4621833186137945,-0.4650121690420278,0.9096352399146702,0.7878554622044521,-1.2594703488777836,-1.5650370040764756,23875.0,2,13,0.0453661697990926,11193.64,37133.28999999999,5097.960000000001,3124.81,9523396,17161,9.7969,11.56,68.89000000000001,19600,30250000,289,400,4.882801922586371
10,0,audi 5000s (diesel),1,1,1,2,0,0,0.1237566027555793,0.3372615160533307,0.9309474162050656,-0.7076263459377201,0.9576931365137914,3,1,0.0985215270853143,5,-0.7393381987312061,0.4621833186137945,-0.7931010789480439,1.4166369369851088,0.7878554622044521,-1.4126996791566833,-1.273900356312703,17859.167,2,17,0.0524074680641991,9900.25,31755.239999999994,4610.410000000001,2704.0,9320809,17161,9.7969,11.56,49.0,25600,30250000,256,484,4.882801922586371
11,2,bmw 320i,1,0,1,3,2,0,0.4067564456710646,0.2235066034815789,-0.5176742365821987,0.2359421555035534,-0.3091320069967633,3,2,-0.4551483182153497,5,0.6301075246817887,-1.4557838942572077,-0.3388241267704832,-0.0790180693726852,1.418344869173532,-0.3400943672043866,-0.2549220891394984,16430.0,3,12,0.0421711899791231,10241.44,31258.240000000005,4199.04,2948.49,5736025,11664,12.25,7.839999999999999,77.44000000000001,10201,33640000,529,841,4.691347882229144
12,0,bmw 320i,1,0,0,3,2,0,0.4067564456710646,0.2235066034815789,-0.5176742365821987,0.2359421555035534,-0.3091320069967633,3,2,-0.4551483182153497,5,0.6301075246817887,-1.4557838942572077,-0.3388241267704832,-0.0790180693726852,1.418344869173532,-0.3400943672043866,-0.2549220891394984,16925.0,3,12,0.0421711899791231,10241.44,31258.240000000005,4199.04,2948.49,5736025,11664,12.25,7.839999999999999,77.44000000000001,10201,33640000,529,841,4.691347882229144
13,0,bmw x1,1,0,1,3,2,0,0.4067564456710646,0.2235066034815789,-0.5176742365821987,0.2359421555035534,0.2973268383008426,3,3,0.8929173920819194,5,-0.0731213603140731,-0.209105205891056,-0.2883489098618655,0.4279836276977534,-1.839183733500048,-0.6465530277621856,-0.4004904130213847,20970.0,3,134,0.0446494464944649,10241.44,31258.240000000005,4199.04,2948.49,7344100,26896,10.9561,10.1761,81.0,14641,18062500,441,784,5.10594547390058
14,0,bmw x3,1,0,0,3,2,0,0.4067564456710646,0.2235066034815789,-0.5176742365821987,0.2359421555035534,0.4032164779559802,3,3,0.8929173920819194,5,-0.0731213603140731,-0.209105205891056,-0.2883489098618655,0.4279836276977534,-1.839183733500048,-0.6465530277621856,-0.4004904130213847,21105.0,3,135,0.04376130198915,10241.44,31258.240000000005,4199.04,2948.49,7645225,26896,10.9561,10.1761,81.0,14641,18062500,441,784,5.10594547390058
15,1,bmw z4,1,0,0,3,2,0,0.7896385860861319,1.214799413035431,0.4636501088543365,0.8102881998591143,0.9615436688648872,3,3,0.8929173920819194,5,-0.0731213603140731,-0.209105205891056,-0.2883489098618655,0.4279836276977534,-1.839183733500048,-0.7997823580410852,-0.8371953846670438,24565.0,3,141,0.0396072013093289,10712.25,35721.0,4475.610000000001,3102.49,9333025,26896,10.9561,10.1761,81.0,14641,18062500,400,625,5.10594547390058
16,0,bmw x4,1,0,0,3,2,0,0.7896385860861319,1.214799413035431,0.4636501088543365,0.8102881998591143,1.2984652495857796,3,3,1.9761844807136533,5,1.074252083626544,0.4302171983992784,-0.5407249944049548,1.9743388037625915,0.5776923265480921,-1.4126996791566833,-1.273900356312703,30760.0,3,136,0.0563467492260061,10712.25,35721.0,4475.610000000001,3102.49,10432900,43681,13.1044,11.4921,64.0,33124,29160000,256,484,5.3471075307174685
17,0,bmw x5,1,0,1,3,2,0,0.7896385860861319,1.604816256138587,0.9309474162050656,-0.010206149220255,1.587255175917973,3,3,1.9761844807136533,5,1.074252083626544,0.4302171983992784,-0.5407249944049548,1.9743388037625915,0.5776923265480921,-1.4126996791566833,-1.273900356312703,41315.0,3,137,0.0538461538461538,10712.25,37558.44,4610.410000000001,2883.6900000000005,11424400,43681,13.1044,11.4921,64.0,33124,29160000,256,484,5.3471075307174685
18,0,bmw x3,1,0,0,3,2,0,1.87169680899828,1.864827484874023,2.332839338257253,1.0564365045829227,1.827913447861468,3,3,1.9761844807136533,5,1.074252083626544,0.4302171983992784,-0.5407249944049548,1.9743388037625915,0.5776923265480921,-1.5659290094355829,-1.5650370040764756,36880.0,3,135,0.051925820256776,12100.0,38809.0,5026.81,3169.69,12285025,43681,13.1044,11.4921,64.0,33124,29160000,225,400,5.3471075307174685
19,2,chevrolet impala,1,0,1,2,1,0,-1.724065900986703,-2.677243667098139,-2.62051211966048,-0.2153297364900973,-2.055348428218759,2,4,-1.586560610786272,1,-1.5536032234632555,-0.7205631293233238,-0.1621608675903209,-1.4225725666093478,-0.0527970804209877,3.3374095594892017,3.238717684025774,5151.0,5,86,0.032258064516129,7814.560000000001,19909.21,3636.09,2830.24,2214144,3721,8.468100000000002,9.1809,90.25,2304,26010000,2209,2809,4.127134385045092
20,1,chevrolet monte carlo,1,0,1,2,1,0,-0.7085958764076113,-1.4746917341967432,-1.0784310054030717,-0.7076263459377201,-1.3121956844572482,3,2,-0.8884551536680434,1,-1.1094586645185025,-0.4648341676071899,-0.136923259136012,-0.8648706998318653,0.5776923265480921,1.958345586979106,1.7830344452069105,6295.0,5,98,0.0373532550693703,8930.25,24304.81,4044.96,2704.0,3511876,8100,9.1809,9.6721,92.16,4900,29160000,1444,1849,4.51085950651685
21,0,chevrolet vega 2300,1,0,0,3,1,0,-0.7085958764076113,-1.239056558155253,-1.0784310054030717,-0.7076263459377201,-1.2448113683130697,3,2,-0.8884551536680434,1,-1.1094586645185025,-0.4648341676071899,-0.136923259136012,-0.8648706998318653,0.5776923265480921,1.958345586979106,1.7830344452069105,6575.0,5,132,0.036668412781561,8930.25,25217.44,4044.96,2704.0,3644281,8100,9.1809,9.6721,92.16,4900,29160000,1444,1849,4.51085950651685
22,1,dodge rampage,1,0,1,2,1,0,-0.8417722730737214,-1.360936821624989,-0.984971543932928,-1.1999229553853428,-1.3083451521061522,3,2,-0.8884551536680434,1,-1.3315309439908782,-0.0812407250329891,-0.1848747151991989,-0.9155708695389092,0.7878554622044521,1.8051162567002064,1.4918977974431378,5572.0,6,112,0.0362473347547974,8779.69,24743.290000000005,4070.44,2580.64,3519376,8100,8.820900000000002,10.4329,88.5481,4624,30250000,1369,1681,4.51085950651685
23,1,dodge challenger se,1,0,1,2,1,0,-0.8417722730737214,-1.360936821624989,-0.984971543932928,-1.1999229553853428,-1.3083451521061522,3,2,-0.8884551536680434,1,-1.3315309439908782,-0.0812407250329891,-0.1873984760446297,-0.9155708695389092,0.7878554622044521,0.8857402750268095,1.0551928257974788,6377.0,6,43,0.0362473347547974,8779.69,24743.290000000005,4070.44,2580.64,3519376,8100,8.820900000000002,10.4329,88.36000000000001,4624,30250000,961,1444,4.51085950651685
24,1,dodge d200,1,1,1,2,1,0,-0.8417722730737214,-1.360936821624989,-0.984971543932928,-1.1999229553853428,-0.8231780758680675,3,2,-0.6958743379112906,5,-1.1094586645185025,0.4302171983992784,-0.6416754282221906,-0.0536679845191633,0.7878554622044521,-0.1868650369254871,-0.109353765257612,7957.0,6,66,0.0479323308270676,8779.69,24743.290000000005,4070.44,2580.64,4528384,9604,9.1809,11.4921,57.76,10404,30250000,576,900,4.59511985013459
25,1,dodge monaco (sw),1,0,0,2,1,0,-0.8417722730737214,-1.360936821624989,-0.984971543932928,-1.281972390293278,-1.1331459301312885,3,2,-0.8884551536680434,1,-1.3315309439908782,-0.0812407250329891,-0.1873984760446297,-0.9155708695389092,0.7878554622044521,0.8857402750268095,1.0551928257974788,6229.0,6,97,0.034570411794611,8779.69,24743.290000000005,4070.44,2560.36,3869089,8100,8.820900000000002,10.4329,88.36000000000001,4624,30250000,961,1444,4.51085950651685
26,1,dodge colt hardtop,1,0,0,3,1,0,-0.8417722730737214,-1.360936821624989,-0.984971543932928,-1.281972390293278,-1.0907900742692331,3,2,-0.8884551536680434,1,-1.3315309439908782,-0.0812407250329891,-0.1873984760446297,-0.9155708695389092,0.7878554622044521,0.8857402750268095,1.0551928257974788,6692.0,6,51,0.0341880341880341,8779.69,24743.290000000005,4070.44,2560.36,3956121,8100,8.820900000000002,10.4329,88.36000000000001,4624,30250000,961,1444,4.51085950651685
27,1,dodge colt (sw),1,0,0,3,1,0,-0.8417722730737214,-1.360936821624989,-0.984971543932928,-1.281972390293278,-1.0907900742692331,3,2,-0.8884551536680434,1,-1.3315309439908782,-0.0812407250329891,-0.1873984760446297,-0.9155708695389092,0.7878554622044521,0.8857402750268095,1.0551928257974788,7609.0,6,50,0.0341880341880341,8779.69,24743.290000000005,4070.44,2560.36,3956121,8100,8.820900000000002,10.4329,88.36000000000001,4624,30250000,961,1444,4.51085950651685
28,1,dodge coronet custom,1,1,1,3,1,0,-0.8417722730737214,-1.360936821624989,-0.984971543932928,-1.281972390293278,-0.7018863068085462,3,2,-0.6958743379112906,5,-1.1094586645185025,0.4302171983992784,-0.6416754282221906,-0.0536679845191633,0.7878554622044521,-0.1868650369254871,-0.109353765257612,8558.0,6,61,0.046554084892743,8779.69,24743.290000000005,4070.44,2560.36,4800481,9604,9.1809,11.4921,57.76,10404,30250000,576,900,4.59511985013459
29,-1,dodge dart custom,1,0,0,4,1,0,0.7563444869196039,0.0447488837259647,-0.6111336980523459,2.492301615471819,-0.0395947424200495,3,2,-0.1181318906410324,1,0.0379147794221149,0.6539800399008949,-0.4145369521334101,-0.4085691724684704,-0.2629602160773477,-0.1868650369254871,-0.109353765257612,8921.0,6,67,0.0347140039447731,10670.89,30485.16,4173.159999999999,3576.0399999999995,6426225,14884,11.1556,11.9716,72.25,7744,25000000,576,900,4.812184355372417
30,3,dodge coronet custom (sw),1,1,1,2,1,0,-0.475537182241917,-0.0690060288457892,0.183271724443895,-1.4460712601091512,0.4917787220311861,3,2,0.7003365763251667,4,1.0002279904690847,2.0604893293396294,-0.7931010789480439,1.03638566418228,-0.2629602160773477,-0.9530116883199848,-0.98276370854893,12964.0,6,62,0.0515830665243685,9196.81,29998.239999999994,4395.69,2520.0400000000004,7901721,24336,12.96,15.21,49.0,21025,25000000,361,576,5.056245805348308
31,2,honda civic,1,0,1,2,1,0,-2.023712793485453,-2.3928563856687552,-0.9382418131978544,-1.1999229553853428,-1.622163538720469,3,2,-0.8403099497288552,0,-1.5536032234632555,0.4941494388283119,-0.136923259136012,-1.1690717180741284,-0.6832864873900676,3.643868220047001,3.3842860079076607,6479.0,7,44,0.0338587273788674,7499.559999999999,20909.16,4083.21,2580.64,2934369,8464,8.468100000000002,11.628100000000002,92.16,3364,23040000,2401,2916,4.532599493153256
32,2,honda civic cvcc,1,0,1,2,1,0,-2.023712793485453,-2.3928563856687552,-0.9382418131978544,-1.1999229553853428,-1.4180853241123856,3,2,-0.8403099497288552,0,-1.5536032234632555,0.4941494388283119,-0.2378736929532478,-0.7127701907107337,1.838671140486252,0.8857402750268095,1.0551928257974788,6855.0,7,48,0.0417811984606926,7499.559999999999,20909.16,4083.21,2580.64,3308761,8464,8.468100000000002,11.628100000000002,84.63999999999999,5776,36000000,961,1444,4.532599493153256
33,1,honda civic,1,0,1,2,1,0,-0.8417722730737214,-1.9540874371777053,-0.8915120824627807,-0.4614780412139087,-1.3834305329525225,3,2,-1.1532537753335783,0,-1.5536032234632555,-0.5926986484652568,-0.0107352168644674,-1.1183715483670846,0.7878554622044521,1.958345586979106,1.637466121325024,5399.0,7,44,0.0326619488296135,8779.69,22500.0,4096.0,2766.76,3374569,6241,8.468100000000002,9.4249,102.01,3600,30250000,1444,1764,4.382026634673881
34,1,honda accord cvcc,1,0,1,2,1,0,-0.8417722730737214,-1.9540874371777053,-0.8915120824627807,-0.4614780412139087,-1.185128116871083,3,2,-0.8403099497288552,0,-1.5536032234632555,0.4941494388283119,-0.2378736929532478,-0.7127701907107337,1.838671140486252,0.73251094474791,0.4729195302699334,6529.0,7,31,0.0391752577319587,8779.69,22500.0,4096.0,2766.76,3763600,8464,8.468100000000002,11.628100000000002,84.63999999999999,5776,36000000,900,1156,4.532599493153256
35,1,honda civic cvcc,1,0,1,2,1,0,-0.8417722730737214,-1.9540874371777053,-0.8915120824627807,-0.4614780412139087,-1.154323858062316,3,2,-0.8403099497288552,0,-1.5536032234632555,0.4941494388283119,-0.2378736929532478,-0.7127701907107337,1.838671140486252,0.73251094474791,0.4729195302699334,7129.0,7,48,0.0388548057259713,8779.69,22500.0,4096.0,2766.76,3825936,8464,8.468100000000002,11.628100000000002,84.63999999999999,5776,36000000,900,1156,4.532599493153256
36,0,honda accord lx,1,0,0,3,1,0,-0.375654884742335,-0.8652904168480631,-0.8915120824627807,0.3179915904114915,-1.0503594845827262,3,2,-0.8403099497288552,0,-1.5536032234632555,0.4941494388283119,-0.2378736929532478,-0.7127701907107337,1.838671140486252,0.73251094474791,0.4729195302699334,7295.0,7,32,0.0378109452736318,9312.25,26699.56,4096.0,2970.25,4040100,8464,8.468100000000002,11.628100000000002,84.63999999999999,5776,36000000,900,1156,4.532599493153256
37,0,honda civic 1500 gl,1,0,0,4,1,0,-0.375654884742335,-1.3771875234209552,-0.9382418131978544,1.876930853662292,-1.0234057581250549,3,2,-0.8403099497288552,0,-1.516591176884527,0.4941494388283119,-0.2378736929532478,-0.7127701907107337,1.838671140486252,0.73251094474791,0.4729195302699334,7295.0,7,47,0.0375494071146245,9312.25,24680.41,4083.21,3398.89,4096576,8464,8.526399999999999,11.628100000000002,84.63999999999999,5776,36000000,900,1156,4.532599493153256
38,0,honda accord,1,0,1,2,1,0,-0.375654884742335,-0.5321510300307851,-0.3307553136419043,-0.1743050190361312,-0.6152493289088883,3,2,-0.4070031142761615,0,-0.6653141055737468,1.0375734824750955,-0.2883489098618655,-0.4592693421755143,1.418344869173532,0.2728229539112114,0.327351206388047,7895.0,7,30,0.0384615384615384,9312.25,28056.25,4251.04,2840.89,4999696,12100,9.9225,12.8164,81.0,7396,33640000,729,1089,4.709530201312334
39,0,honda civic 1300,1,0,1,2,1,0,-0.375654884742335,-0.5321510300307851,-0.3307553136419043,-0.1743050190361312,-0.5132102216048466,3,2,-0.4070031142761615,0,-0.6653141055737468,1.0375734824750955,-0.2883489098618655,-0.4592693421755143,1.418344869173532,0.2728229539112114,0.327351206388047,9095.0,7,46,0.037570991699432,9312.25,28056.25,4251.04,2840.89,5239521,12100,9.9225,12.8164,81.0,7396,33640000,729,1089,4.709530201312334
40,0,honda prelude,1,0,0,3,1,0,-0.375654884742335,0.1097516909098249,-0.3307553136419043,0.1538927205956182,-0.4843312289716273,3,2,-0.4070031142761615,0,-0.6653141055737468,1.0375734824750955,-0.2883489098618655,-0.4592693421755143,1.418344869173532,0.2728229539112114,0.327351206388047,8845.0,7,107,0.0373263888888888,9312.25,30765.160000000003,4251.04,2926.81,5308416,12100,9.9225,12.8164,81.0,7396,33640000,729,1089,4.709530201312334
41,0,honda accord,1,0,0,3,1,0,-0.375654884742335,0.1097516909098249,-1.5924580434888744,0.1538927205956182,-0.3534131290343663,3,2,-0.4070031142761615,0,-0.6653141055737468,1.0375734824750955,-0.2883489098618655,-0.4592693421755143,1.418344869173532,0.2728229539112114,0.327351206388047,10295.0,7,30,0.036256323777403,9312.25,30765.160000000003,3906.25,2926.81,5626384,12100,9.9225,12.8164,81.0,7396,33640000,729,1089,4.709530201312334
42,0,honda civic,1,0,0,3,1,0,-0.375654884742335,0.1097516909098249,-0.3307553136419043,0.1538927205956182,-0.1743633747084064,3,2,-0.4070031142761615,5,-0.6653141055737468,1.0375734824750955,-0.2883489098618655,-0.0790180693726852,1.418344869173532,-0.1868650369254871,-0.4004904130213847,12945.0,7,44,0.040973630831643,9312.25,30765.160000000003,4251.04,2926.81,6076225,12100,9.9225,12.8164,81.0,10201,33640000,576,784,4.709530201312334
43,1,honda civic (auto),1,0,1,3,1,0,-0.375654884742335,-0.4021454156630672,0.0430825322386776,-1.1178735204774048,-0.5055091569026547,3,2,-0.4070031142761615,1,-0.6653141055737468,1.0375734824750955,-0.2631113014075567,-0.1043681542262072,0.7878554622044521,-0.0336357066465875,0.0362145586242743,10345.0,7,45,0.0436109899694723,9312.25,28594.81,4356.0,2601.0,5257849,12100,9.9225,12.8164,82.80999999999999,10000,30250000,625,961,4.709530201312334
44,0,isuzu MU-X,1,0,0,3,2,0,-0.7418899755741394,-0.2721398012953492,-1.9195661586343864,-0.0922555841281931,-0.4207974451785447,3,2,-0.3829305123065674,1,-0.0731213603140731,-0.0812407250329891,-0.4145369521334101,-0.6620700210036897,-0.6832864873900676,-0.1868650369254871,-0.2549220891394984,6785.0,8,28,0.0333761232349165,8892.49,29138.489999999994,3819.24,2862.25,5461569,12321,10.9561,10.4329,72.25,6084,23040000,576,841,4.718498871295094
45,1,isuzu D-Max ,1,0,1,3,1,0,-0.7085958764076113,-1.4746917341967432,-1.0784310054030717,-0.7076263459377201,-1.3121956844572482,3,2,-0.8884551536680434,1,-1.1094586645185025,-0.4648341676071899,-0.136923259136012,-0.8648706998318653,0.5776923265480921,1.958345586979106,1.7830344452069105,8916.5,8,26,0.0373532550693703,8930.25,24304.81,4044.96,2704.0,3511876,8100,9.1809,9.6721,92.16,4900,29160000,1444,1849,4.51085950651685
46,0,isuzu D-Max V-Cross,1,0,0,3,1,0,-0.7085958764076113,-1.4746917341967432,-1.0784310054030717,-0.7076263459377201,-1.2448113683130697,3,2,-0.8884551536680434,1,-1.1094586645185025,-0.4648341676071899,-0.136923259136012,-0.8648706998318653,0.5776923265480921,1.958345586979106,1.7830344452069105,8916.5,8,27,0.036668412781561,8930.25,24304.81,4044.96,2704.0,3644281,8100,9.1809,9.6721,92.16,4900,29160000,1444,1849,4.51085950651685
47,2,isuzu D-Max ,1,0,1,2,2,0,-0.4588901326586541,-0.1177581342336832,-0.3307553136419043,-0.9537746506615314,0.3435332265139936,3,2,-0.1903496965498147,7,0.3710231986306822,-0.0812407250329891,-0.2378736929532478,-0.3578690027614265,-0.2629602160773477,-0.1868650369254871,-0.2549220891394984,11048.0,8,26,0.0329188002926115,9216.0,29790.76,4251.04,2641.96,7474756,14161,11.7649,10.4329,84.63999999999999,8100,25000000,576,841,4.787491742782046
48,0,jaguar xj,1,0,0,3,2,0,2.3711082964961943,2.0760866082215648,1.7253528387013,-0.3794286063059735,2.9079877723438705,0,3,3.155741977223764,5,1.1112641302052728,2.9235745751315805,-0.5154873859506459,1.82223829464146,-0.7883680552182476,-1.5659290094355829,-1.710605327958362,32250.0,9,139,0.043285784554845,12769.0,39840.16,4844.159999999999,2787.84,16532356,66564,13.1769,17.3889,65.61,30976,22562500,225,361,5.556828061699537
49,0,jaguar xf,1,0,0,3,2,0,2.3711082964961943,2.0760866082215648,1.7253528387013,-0.3794286063059735,2.9079877723438705,0,3,3.155741977223764,5,1.1112641302052728,2.9235745751315805,-0.5154873859506459,1.82223829464146,-0.7883680552182476,-1.5659290094355829,-1.710605327958362,35550.0,9,138,0.043285784554845,12769.0,39840.16,4844.159999999999,2787.84,16532356,66564,13.1769,17.3889,65.61,30976,22562500,225,361,5.556828061699537
50,0,jaguar xk,1,0,1,3,2,0,0.5399328423371748,1.4341838872809547,2.192650146052029,-2.4306644790043967,2.684656895980308,5,5,4.7926789111561625,5,0.7781557109967071,-1.5836483751152748,0.3425913014958575,4.002345592044346,-0.2629602160773477,-1.8723876699933817,-2.001741975722134,36000.0,9,140,0.0663291139240506,10404.0,36748.88999999999,4984.359999999999,2284.84,15602500,106276,12.5316,7.617599999999999,132.25,68644,25000000,169,289,5.7899601708972535
