TeamName,PlayerName,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSPerMin,GoldPerMin,KP%,DamagePercent,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills,Country,FlashKeybind
Top Esports,369,Top,8,0.5,3.1,2.5,2.4,4.9,7.6,373,0.532,0.2189999999999999,508,0.91,0.38,0.11,0.13,322,5,424,0.0,0.25,0,2,China,D
Dplus KIA,aiming,Adc,9,0.3329999999999999,4.8,5.0,2.0,4.7,10.1,449,0.815,0.308,650,1.16,0.39,0.34,0.1,-112,1,97,0.3329999999999999,0.0,0,2,South Korea,F
MAD Lions KOI,alvaro,Support,5,0.2,1.5,0.2,4.4,6.2,1.2,233,0.622,0.079,173,3.59,1.91,0.52,0.49,-3,2,-256,0.0,0.6,0,-,Spain,D
Team Liquid,apa,Mid,10,0.5,2.4,3.5,3.2,4.2,8.7,418,0.5920000000000001,0.266,612,1.54,0.58,0.32,0.18,278,2,216,0.4,0.0,0,3,United States,D
PSG Talon,azhi,Top,5,0.2,2.3,2.2,3.0,4.8,7.5,357,0.542,0.208,523,1.12,0.43,0.23,0.18,-311,-10,-168,0.2,0.0,0,-,Taiwan,D
PSG Talon,betty,Adc,5,0.2,4.4,4.4,2.0,4.4,10.0,444,0.643,0.314,776,1.13,0.35,0.4,0.1,-170,0,-188,0.6,0.0,0,-,Taiwan,D
Bilibili Gaming,bin,Top,12,0.667,4.2,4.3,2.3,5.2,8.1,413,0.555,0.216,552,1.07,0.45,0.18,0.19,-40,5,-9,0.1669999999999999,0.1669999999999999,0,4,China,D
Weibo Gaming,breathe,Top,13,0.615,4.1,4.4,2.4,5.3,8.3,437,0.619,0.236,551,1.25,0.46,0.23,0.18,387,5,232,0.154,0.077,0,2,China,F
G2 Esports,brokenblade,Top,8,0.375,3.7,3.4,2.5,5.9,8.2,399,0.623,0.222,501,1.24,0.45,0.23,0.15,224,0,342,0.125,0.0,0,1,Germany,D
FlyQuest,busio,Support,14,0.5,3.7,1.1,2.5,8.1,1.1,244,0.669,0.071,159,3.75,1.98,0.5,0.44,-96,0,130,0.143,0.143,0,2,United States,F
FlyQuest,bwipo,Top,14,0.5,1.7,2.1,4.1,4.9,8.0,381,0.52,0.223,503,1.06,0.41,0.23,0.16,-6,1,118,0.071,0.357,0,3,Belgium,D
Gen.G,canyon,Jungle,10,0.7,6.5,2.0,1.7,9.0,6.4,350,0.723,0.139,356,1.67,0.5,0.4,0.3,-119,1,-21,0.5,0.0,0,-,South Korea,F
G2 Esports,caps,Mid,8,0.375,3.6,2.4,2.8,7.5,8.8,403,0.7090000000000001,0.271,608,0.85,0.3,0.16,0.14,-10,8,350,0.25,0.25,0,2,Denmark,F
PaiN Gaming,cariok,Jungle,4,0.0,1.5,0.5,4.3,6.0,5.4,293,0.622,0.152,296,1.58,0.53,0.35,0.33,-636,-12,-625,0.25,0.5,0,-,Brazil,D
Gen.G,chovy,Mid,10,0.7,7.8,5.3,1.4,5.6,9.5,449,0.7340000000000001,0.276,671,1.52,0.46,0.45,0.19,60,-1,90,0.2,0.1,0,3,South Korea,F
Team Liquid,corejj,Support,10,0.5,3.6,0.8,2.9,9.7,1.0,252,0.7829999999999999,0.069,166,3.68,1.7,0.51,0.46,185,-4,-258,0.7,0.0,0,-,South Korea,D
Top Esports,creme,Mid,8,0.5,3.6,3.1,2.4,5.4,8.3,394,0.604,0.294,696,1.3,0.41,0.35,0.18,-442,-9,-183,0.0,0.125,0,1,China,D
Weibo Gaming,crisp,Support,13,0.615,3.7,0.5,3.2,11.3,1.2,246,0.7509999999999999,0.067,157,4.25,2.39,0.52,0.63,159,1,188,0.308,0.385,0,-,China,D
Hanwha Life Esports,delight,Support,12,0.5,3.2,0.5,3.3,10.0,1.3,243,0.765,0.062,145,3.77,1.95,0.52,0.52,172,3,109,0.667,0.0,0,-,South Korea,F
Hanwha Life Esports,doran,Top,12,0.5,2.9,3.2,3.0,5.5,7.9,389,0.619,0.195,447,1.12,0.42,0.22,0.23,-82,-4,-331,0.3329999999999999,0.083,0,1,South Korea,F
PaiN Gaming,dynquedo,Mid,4,0.0,2.4,3.5,3.0,3.8,8.4,386,0.74,0.305,581,0.98,0.45,0.21,0.24,-1172,-16,-634,0.25,0.0,0,-,Brazil,D
GAM Esports,easylove,Adc,8,0.375,3.4,3.9,2.4,4.3,9.2,407,0.703,0.255,574,0.9,0.38,0.24,0.11,-617,-12,-770,0.375,0.0,0,1,Vietnam,D
GAM Esports,elio,Support,8,0.375,2.8,0.6,3.1,8.3,1.3,238,0.672,0.08,165,3.52,1.99,0.48,0.49,-209,5,334,0.375,0.125,0,-,Vietnam,D
Bilibili Gaming,elk,Adc,12,0.667,4.4,4.8,2.8,7.3,9.7,457,0.7070000000000001,0.299,778,1.16,0.38,0.33,0.12,129,0,216,0.1669999999999999,0.083,0,1,China,D
MAD Lions KOI,elyoya,Jungle,5,0.2,1.8,1.2,3.6,5.4,5.9,320,0.682,0.135,278,1.7,0.41,0.45,0.4,-261,1,-288,0.2,0.0,0,-,Spain,D
GAM Esports,emo,Mid,8,0.375,3.2,2.8,2.4,4.8,8.9,392,0.5770000000000001,0.215,482,1.06,0.37,0.25,0.19,-536,-2,-240,0.0,0.125,0,-,Vietnam,D
T1,faker,Mid,8,0.875,4.8,4.6,2.4,6.8,7.9,414,0.691,0.2339999999999999,575,1.22,0.38,0.31,0.12,741,8,40,0.625,0.0,0,2,South Korea,F
MAD Lions KOI,fresskowy,Mid,5,0.2,1.3,3.6,4.2,1.8,8.8,405,0.607,0.312,678,0.9,0.38,0.15,0.23,125,-8,-146,0.2,0.0,0,2,Poland,D
LNG Esports,gala,Adc,8,0.625,7.2,5.0,1.6,6.8,9.8,453,0.688,0.31,702,1.11,0.26,0.38,0.07,-118,-10,-710,0.25,0.0,0,1,China,D
T1,gumayusi,Adc,8,0.875,9.1,4.6,1.3,6.8,10.3,486,0.716,0.3,696,1.22,0.4,0.39,0.16,322,10,182,0.25,0.125,0,-,South Korea,F
LNG Esports,hang,Support,8,0.625,2.9,0.6,4.3,11.6,1.1,245,0.7140000000000001,0.072,164,3.86,2.06,0.52,0.57,-61,0,70,0.375,0.25,0,-,China,D
G2 Esports,hans sama,Adc,8,0.375,3.1,4.8,3.1,4.9,9.3,444,0.684,0.266,610,1.28,0.33,0.43,0.08,44,-4,50,0.0,0.0,0,-,France,D
Fnatic,humanoid,Mid,6,0.3329999999999999,2.2,2.3,3.3,4.8,9.1,395,0.639,0.2689999999999999,566,1.05,0.35,0.37,0.06,-644,-2,-129,0.0,0.1669999999999999,0,1,Czechia,D
Team Liquid,impact,Top,10,0.5,2.5,2.5,2.9,4.7,7.4,388,0.556,0.2,480,1.03,0.41,0.16,0.17,-197,-8,-134,0.2,0.0,0,3,South Korea,D
FlyQuest,inspired,Jungle,14,0.5,4.7,1.1,2.1,8.6,6.3,337,0.799,0.155,342,1.39,0.23,0.34,0.18,-46,2,-28,0.143,0.0,0,-,Poland,F
Top Esports,jackeylove,Adc,8,0.5,3.4,4.0,2.6,5.0,9.7,442,0.63,0.282,618,1.41,0.39,0.45,0.17,-97,-6,-310,0.125,0.0,0,1,China,D
Fnatic,jun,Support,6,0.3329999999999999,2.9,0.7,3.2,8.5,1.1,233,0.8,0.067,149,3.29,1.71,0.43,0.44,-336,-2,50,0.3329999999999999,0.0,0,-,South Korea,F
PSG Talon,junjia,Jungle,5,0.2,2.7,1.8,3.6,8.0,5.8,323,0.7609999999999999,0.125,303,1.6,0.46,0.39,0.44,58,10,402,0.6,0.2,0,-,Taiwan,D
T1,keria,Support,8,0.875,7.5,0.8,1.8,12.4,1.2,267,0.8029999999999999,0.094,229,3.94,2.43,0.41,0.6,250,0,453,0.625,0.0,0,-,South Korea,F
GAM Esports,kiaya,Top,8,0.375,3.3,3.4,2.6,5.3,7.9,385,0.5539999999999999,0.292,609,1.01,0.51,0.13,0.22,450,9,147,0.375,0.125,0,6,Vietnam,D
Gen.G,kiin,Top,10,0.7,3.8,2.6,2.5,6.8,7.9,386,0.6409999999999999,0.2269999999999999,554,1.11,0.41,0.2,0.19,-228,5,-45,0.2,0.1,0,5,South Korea,F
Dplus KIA,kingen,Top,9,0.3329999999999999,1.8,1.7,3.6,4.7,7.6,368,0.41,0.211,476,0.88,0.34,0.16,0.19,-547,-6,-436,0.222,0.222,0,1,South Korea,F
Bilibili Gaming,knight,Mid,12,0.667,5.0,5.3,2.5,7.3,8.2,416,0.713,0.2689999999999999,688,1.29,0.34,0.37,0.12,212,3,132,0.25,0.083,0,1,China,D
PaiN Gaming,kuri,Support,4,0.0,2.0,1.0,3.5,6.0,1.1,225,0.672,0.094,182,3.72,2.37,0.45,0.51,-270,2,6,0.5,0.0,0,-,South Korea,D
Gen.G,lehends,Support,10,0.7,3.2,0.6,3.3,9.8,1.1,248,0.653,0.077,187,3.71,2.16,0.44,0.62,66,-5,-214,0.4,0.0,0,-,South Korea,F
GAM Esports,levi,Jungle,8,0.375,2.3,2.3,3.6,6.1,6.3,342,0.585,0.158,356,1.54,0.38,0.42,0.22,65,2,133,0.5,0.125,0,1,Vietnam,F
Weibo Gaming,light,Adc,13,0.615,6.0,4.9,1.8,5.7,9.8,450,0.7070000000000001,0.2739999999999999,637,1.08,0.33,0.36,0.09,142,7,229,0.308,0.0,0,-,China,D
Dplus KIA,lucid,Jungle,9,0.3329999999999999,1.7,1.9,4.6,6.0,5.3,308,0.629,0.129,277,1.5,0.52,0.31,0.46,-325,-8,-367,0.3329999999999999,0.111,0,-,South Korea,F
PSG Talon,maple,Mid,5,0.2,2.2,3.4,3.6,4.6,8.8,404,0.6609999999999999,0.302,718,1.2,0.44,0.27,0.21,-79,1,203,0.2,0.0,0,2,Taiwan,D
FlyQuest,massu,Adc,14,0.5,4.4,4.2,2.1,5.0,9.3,429,0.6729999999999999,0.275,625,1.1,0.35,0.26,0.13,-207,-4,71,0.143,0.071,0,-,Canada,F
Top Esports,meiko,Support,8,0.5,3.1,0.4,3.1,9.4,1.2,242,0.716,0.07,161,3.58,1.73,0.59,0.52,-48,2,145,0.125,0.125,0,-,China,D
G2 Esports,mikyx,Support,8,0.375,1.8,0.6,5.6,9.4,1.0,247,0.736,0.057,126,4.1,2.22,0.53,0.55,104,-2,-475,0.25,0.375,0,1,Slovenia,F
Dplus KIA,moham,Support,9,0.3329999999999999,1.9,0.4,5.1,9.2,1.1,237,0.7979999999999999,0.07,149,3.9,2.22,0.58,0.63,-220,-1,-420,0.556,0.111,0,-,South Korea,D
MAD Lions KOI,myrwn,Top,5,0.2,1.2,2.2,3.6,2.2,7.1,356,0.47,0.179,406,0.76,0.35,0.1,0.09,-525,-16,-49,0.0,0.2,0,2,Spain,D
Fnatic,noah,Adc,6,0.3329999999999999,5.9,4.5,1.5,4.3,9.7,438,0.772,0.304,665,1.03,0.45,0.29,0.15,125,5,504,0.3329999999999999,0.0,0,2,South Korea,F
Bilibili Gaming,on,Support,12,0.667,2.7,0.4,4.3,11.1,1.1,249,0.66,0.06,150,4.08,2.36,0.57,0.67,-32,-1,-74,0.1669999999999999,0.1669999999999999,0,-,China,D
T1,oner,Jungle,8,0.875,6.8,2.8,1.9,10.0,6.5,372,0.774,0.151,366,1.51,0.32,0.37,0.27,420,-1,242,0.5,0.125,0,-,South Korea,F
Fnatic,oscarinin,Top,6,0.3329999999999999,2.0,2.0,3.5,4.8,7.3,352,0.5720000000000001,0.168,364,1.02,0.39,0.23,0.17,-744,-8,-200,0.1669999999999999,0.3329999999999999,0,2,Spain,D
Hanwha Life Esports,peanut,Jungle,12,0.5,3.6,1.0,3.3,10.7,5.7,320,0.821,0.123,291,1.65,0.39,0.51,0.25,75,-5,-33,0.667,0.0,0,-,South Korea,D
Gen.G,peyz,Adc,10,0.7,8.4,4.7,1.4,7.1,9.4,449,0.7559999999999999,0.281,703,1.33,0.49,0.33,0.17,33,-7,-378,0.5,0.2,0,2,South Korea,F
FlyQuest,quad,Mid,14,0.5,5.2,4.0,1.8,5.4,8.6,406,0.7170000000000001,0.275,621,1.18,0.46,0.25,0.2,-54,2,-56,0.143,0.214,0,1,South Korea,F
Fnatic,razork,Jungle,6,0.3329999999999999,3.1,2.0,3.2,7.8,6.5,343,0.8490000000000001,0.192,412,1.66,0.33,0.47,0.15,-208,2,-18,0.5,0.0,0,1,Spain,D
LNG Esports,scout,Mid,8,0.625,9.3,4.3,1.3,7.4,9.0,430,0.6920000000000001,0.239,536,1.21,0.31,0.32,0.17,-183,-2,-95,0.0,0.125,0,-,South Korea,F
Dplus KIA,showmaker,Mid,9,0.3329999999999999,3.1,3.6,2.7,4.8,8.2,390,0.66,0.282,621,1.43,0.53,0.32,0.25,30,5,128,0.222,0.0,0,3,South Korea,F
MAD Lions KOI,supa,Adc,5,0.2,1.6,2.6,4.0,3.8,9.4,416,0.648,0.295,631,1.24,0.36,0.44,0.12,382,8,749,0.0,0.0,0,3,Spain,F
Weibo Gaming,tarzan,Jungle,13,0.615,3.5,1.7,3.4,10.1,5.3,318,0.7709999999999999,0.15,343,1.68,0.46,0.39,0.34,50,-3,87,0.231,0.077,0,-,South Korea,F
Top Esports,tian,Jungle,8,0.5,4.4,2.0,2.3,7.9,6.0,332,0.7040000000000001,0.135,306,1.74,0.51,0.43,0.38,138,-1,-29,0.0,0.375,0,-,China,F
PaiN Gaming,titan,Adc,4,0.0,1.8,1.8,3.0,3.8,9.5,385,0.505,0.243,463,1.06,0.45,0.27,0.2,-820,-12,-797,0.25,0.0,0,1,Brazil,F
Team Liquid,umti,Jungle,10,0.5,3.8,2.4,2.4,6.6,6.1,346,0.672,0.15,349,1.69,0.47,0.38,0.32,20,4,51,0.6,0.2,0,1,South Korea,F
Hanwha Life Esports,viper,Adc,12,0.5,4.2,5.6,2.5,5.0,10.5,465,0.755,0.337,782,1.41,0.43,0.42,0.14,261,8,39,0.5,0.0,0,2,South Korea,F
Bilibili Gaming,wei,Jungle,3,0.3329999999999999,3.1,1.0,4.0,11.3,5.5,330,0.8059999999999999,0.171,440,1.74,0.49,0.43,0.43,186,-4,168,0.667,0.0,0,-,China,F
LNG Esports,weiwei,Jungle,8,0.625,3.9,2.3,3.3,10.5,6.0,337,0.777,0.133,294,1.72,0.53,0.38,0.32,77,7,257,0.5,0.0,0,-,China,D
PaiN Gaming,wizer,Top,4,0.0,1.6,3.0,3.3,2.3,8.1,371,0.5429999999999999,0.206,394,0.96,0.3,0.31,0.16,-319,0,-525,0.0,0.0,0,-,South Korea,F
PSG Talon,woody,Support,5,0.2,3.3,1.0,3.2,9.6,1.0,237,0.8059999999999999,0.052,128,3.47,2.03,0.33,0.56,-21,1,109,0.8,0.0,0,-,Taiwan,F
Weibo Gaming,xiaohu,Mid,13,0.615,6.2,3.8,1.9,8.1,8.5,413,0.767,0.2739999999999999,638,1.44,0.5,0.42,0.17,221,-4,-135,0.077,0.077,0,1,China,D
Bilibili Gaming,xun,Jungle,9,0.778,5.3,2.4,2.4,10.6,6.2,358,0.738,0.15,391,1.58,0.37,0.41,0.35,93,1,1,0.444,0.0,0,-,China,D
Team Liquid,yeon,Adc,10,0.5,4.9,3.8,1.8,5.0,10.0,448,0.675,0.316,731,1.37,0.42,0.41,0.16,224,6,571,0.5,0.0,0,-,United States,D
G2 Esports,yike,Jungle,8,0.375,4.5,3.1,2.4,7.6,6.4,360,0.762,0.184,422,1.89,0.65,0.45,0.22,102,4,-80,0.25,0.0,0,2,Sweden,D
Hanwha Life Esports,zeka,Mid,12,0.5,3.6,3.8,2.8,6.2,9.1,417,0.705,0.283,657,1.35,0.47,0.31,0.24,288,2,66,0.25,0.1669999999999999,0,1,South Korea,F
T1,zeus,Top,8,0.875,7.1,3.9,1.6,7.6,7.9,420,0.698,0.222,539,1.06,0.39,0.18,0.19,633,8,370,0.125,0.0,0,2,South Korea,F
LNG Esports,zika,Top,8,0.625,3.8,4.6,3.1,7.1,8.2,431,0.71,0.246,560,1.05,0.46,0.18,0.19,321,-2,-95,0.375,0.125,0,2,China,D
